nm9423081&Willie Aames&1960
nm9423196&E. Erich Anderson&
nm9423197&Rochester&1905
nm9423198&G.M. Anderson&1882
nm9423199&Harriet Anderson&
nm9423200&Herbert Anderson&1917
nm9423201&Ingrid Anderson&
nm9423202&Jean Anderson&1908
nm9423203&John Anderson&1922
nm9423204&Judith Anderson&1898
nm9423205&Lindsay Anderson&1923
nm9423206&Loni Anderson&1947
nm9423207&Mary Anderson&1920
nm9423208&Melissa Sue Anderson&
nm9423209&Michael Anderson~jr.&1943
nm9423210&Rona Anderson&1926
nm9423211&Warner Anderson&1911
nm9423212&Bibi Andersson&1935
nm9423213&Harriet Andersson&1932
nm9423214&Carole Andre&
nm9423215&Gabe Andre&
nm9423216&Fr\'ed\'ric Andrei&
nm9423217&Anthony Andrews&1948
nm9423218&Brian Andrews&
nm9423219&Dana Andrews&1909
nm9423220&Eamonn Andrews&
nm9423221&Edward Andrews&1914
nm9423222&Harry Andrews&1911
nm9423223&Julie Andrews&1934
nm9423224&The Andrews Sisters&
nm9423225&Stanley Andrews&1892
nm9423226&Heather Angel&1909
nm9423227&Pier Angeli&1932
nm9423228&The Hells Angels&
nm9423229&Maya Angelou&1929
nm9423230&Muriel Angelus&1909
nm9423231&Ivy Angustain&
nm9423232&Evelyn Ankers&1918
nm9423233&Morris Ankrum&1896
nm9423234&Francesca Annis&1944
nm9423235&AnnMargret&1941
nm9423236&Michael Ansara&1922
nm9423237&Karen Anspach&
nm9423238&Susan Anspach&1939
nm9423239&Adam Ant&
nm9423240&Lysette Anthony&
nm9423241&Michael Anthony&
nm9423242&Susan Anton&
nm9423243&Laura Antonelli&
nm9423244&Lou Antonio&
nm9423245&Scott Antony&1950
nm9423246&Aquanetta&1920
nm9423247&Alfonso Arau&
nm9423248&Roscoe Arbuckle&1887
nm9423249&Allan Arbus&
nm9423250&Anne Archer&
nm9423251&Eve Arden&1912
nm9423252&Carmen Argenziano&
nm9423253&Adam Arkin&
nm9423254&David Arkin&
nm9423255&Richard Arlen&1898
nm9423256&Arletty&1898
nm9423257&George Arliss&1868
nm9423258&Pedro Armendariz&1912
nm9423259&Henry Armetta&1888
nm9423260&Bess Armstrong&
nm9423261&Curtis Armstrong&
nm9423262&Louis Armstrong&1900
nm9423263&R.G. Armstrong&1920
nm9423264&Robert Armstrong&1890
nm9423265&Todd Armstrong&1939
nm9423266&Yvonne Arnaud&1892
nm9423267&Desi Arnaz&1915
nm9423268&Desi Arnaz~jr.&1953
nm9423269&Peter Arne&1920
nm9423270&James Arness&1923
nm9423271&Jeanetta Arnette&
nm9423272&Edward Arnold&1890
nm9423273&Mark Arnott&
nm9423274&Charles Arnt&1908
nm9423275&Rosanna Arquette&
nm9423276&Antonin Artaud&1895
nm9423277&Beatrice Arthur&1923
nm9423278&George K. Arthur&1899
nm9423279&Jean Arthur&1905
nm9423280&Linda Arvidson&1884
nm9423281&Leslie Ash&
nm9423282&Peggy Ashcroft&1907
nm9423283&Jane Asher&1946
nm9423284&Ren\`ee Asherson&1920
nm9423285&Edward Ashley&1904
nm9423286&Jennifer Ashley&
nm9423287&John Ashley&
nm9423288&Gregoire Asian&
nm9423289&Luke Askew&
nm9423290&Arthur Askey&1900
nm9423291&Ed Asner&1929
nm9423292&Chuck Aspegren&
nm9423293&Armand Assante&
nm9423294&Asta&
nm9423295&Adele Astaire&
nm9423296&Nils Asther&1897
nm9423297&John Astin&1930
nm9423298&Patty Duke Astin&1946
nm9423299&Gertrude Astor&1887
nm9423300&Mary Astor&1906
nm9423301&Eileen Atkins&1934
nm9423302&Kiyoshi Atsumi&1928
nm9423303&Malcolm Atterbury&1907
nm9423304&Edith Atwater&1911
nm9423305&Lionel Atwill&1885
nm9423306&Kim Atwood&
nm9423307&Brigitte Auber&
nm9423308&Rene Auberjonois&1940
nm9423309&Lenore Aubert&1913
nm9423310&Cecile Aubry&1929
nm9423311&Joss Auckland&
nm9423312&Michael Auclair&1922
nm9423313&Maxine Audley&1923
nm9423314&Stephane Audran&1932
nm9423315&Audrey&
nm9423316&Mischa Auer&1905
nm9423317&Claudine Auger&1942
nm9423318&Marie Ault&1870
nm9423319&JeanPierre Aumont&1909
nm9423320&John Austin&
nm9423321&Daniel Auteuil&
nm9423322&Gene Autry&1907
nm9423323&Frankie Avalon&1939
nm9423324&Luis Avalos&
nm9423325&Doe Avedon&1928
nm9423326&Brian Avery&
nm9423327&Margaret Avery&
nm9423328&Nina Axelrod&
nm9423329&Hoyt Axton&
nm9423330&George Ayer&
nm9423331&Dan Aykroyd&
nm9423332&Felix Aylmer&1889
nm9423333&Agnes Ayres&1896
nm9423334&Gregg Ayres&
nm9423335&Lew Ayres&1908
nm9423336&Robert Ayres&1914
nm9423337&Randle Ayrton&1869
nm9423338&Shabana Azmi&
nm9423339&Candy Azzara&
nm9423340&Lauren Bacall&1924
nm9423341&Barbara Bach&1951
nm9423342&Pamela Bach&1962
nm9423343&Jim Backus&1913
nm9423344&Kevin Bacon&
nm9423345&Hermione Baddeley&
nm9423346&Alan Badel&1923
nm9423347&Buddy Baer&1915
nm9423348&Harry Baer&
nm9423349&Max Baer&1909
nm9423350&Pearl Bailey&1918
nm9423351&Barbara Bain&1932
nm9423352&Fay Bainter&1892
nm9423353&Scott Baio&1961
nm9423354&Blanche Baker&
nm9423355&Carrol Baker&1931
nm9423356&Diane Baker&1936
nm9423357&Hylda Baker&1909
nm9423358&Joe Don Baker&1943
nm9423359&Kathy Baker&
nm9423360&Kenny Baker&1912
nm9423361&Ruby Baker&
nm9423362&Stanley Baker&1927
nm9423363&Tom Baker&1935
nm9423364&Bob Balaban&1965
nm9423365&Rebecca Balding&
nm9423366&Adam Baldwin&
nm9423367&Alec Baldwin&
nm9423368&Daniel Baldwin&
nm9423369&Stephen Baldwin&
nm9423370&Betty Balfour&1903
nm9423371&Mireille Balin&1909
nm9423372&Florinda Balkan&
nm9423373&Lucille Ball&1910
nm9423374&Vincent Ball&
nm9423375&Kay Ballard&1926
nm9423376&Martin Balsam&1919
nm9423377&George Bancroft&1882
nm9423378&Victor Banerjee&
nm9423379&Donatas Banionis&
nm9423380&Alex Bank&
nm9423381&Tallulah Bankhead&1902
nm9423382&Aaron Banks&
nm9423383&Leslie Banks&1890
nm9423384&Vilma Banky&1902
nm9423385&Ian Bannen&1928
nm9423386&John Banner&1910
nm9423387&Theda Bara&1890
nm9423388&Olga Baraclanova&
nm9423389&Christine Baranski&
nm9423390&Vanna Barba&1967
nm9423391&Adrienne Barbeau&1949
nm9423392&George Barbier&1865
nm9423393&Joyce Barbour&
nm9423394&Brigitte Bardot&1933
nm9423395&Mijanou Bardot&
nm9423396&Sonny Barger&
nm9423397&Lynn Bari&1915
nm9423398&Norah Baring&1907
nm9423399&Erik Barker&1912
nm9423400&Ronnie Barker&1929
nm9423401&Lex Barker&
nm9423402&Marcie Barkin&
nm9423403&Mikhail Barishnikov&
nm9423404&Binnie Barnes&1905
nm9423405&Jake Barnes&
nm9423406&Joanna Barnes&1934
nm9423407&Julian Barnes&
nm9423408&Priscilla Barnes&
nm9423409&Charlie Barnett&
nm9423410&Nella Barnier&
nm9423411&Sandy Baron&
nm9423412&Pierre Barouh&
nm9423413&Maria Barranco&
nm9423414&JeanLouis Barrault&1910
nm9423415&MarieChristine Barrault&1944
nm9423416&Edith Barrett&1907
nm9423417&Judith Barrett&1914
nm9423418&Barbara Barrie&
nm9423419&Mona Barrie&1909
nm9423420&Wendy Barrie&1912
nm9423421&Edgar Barrier&1906
nm9423422&Maurice Barrier&
nm9423423&George Barris&
nm9423424&Gene Barry&1921
nm9423425&Joan Barry&1903
nm9423426&Diana Barrymore&1921
nm9423427&Drew Barrymore&1976
nm9423428&Ethel Barrymore&1879
nm9423429&John Barrymore&1882
nm9423430&John Barrymore~jr.&1932
nm9423431&John Barrymore~III&
nm9423432&Lionel Barrymore&1878
nm9423433&Maurice Barrymore&
nm9423434&Paul Bartels&1940
nm9423435&Eddie Barth&
nm9423436&Richard Barthelmess&1895
nm9423437&Freddie Bartholomew&1924
nm9423438&Eve Bartok&1926
nm9423439&James Barton&1890
nm9423440&Richard Basehart&1915
nm9423441&Tony Basil&
nm9423442&Count Basie&
nm9423443&Richard Baskin&
nm9423444&Alfie Bass&
nm9423445&Lina Basquette&1907
nm9423446&Albert Basserman&1867
nm9423447&Steve Bassett&
nm9423448&Alexandra Bastedo&1946
nm9423449&Alan Bates&1934
nm9423450&Barbara Bates&
nm9423451&Florence Bates&1888
nm9423452&Kathy Bates&1958
nm9423453&Michael Bates&1920
nm9423454&Belinda Bauer&
nm9423455&Steven Bauer&
nm9423456&Harry Baur&1880
nm9423457&Barbara Baxley&
nm9423458&Alan Baxter&1908
nm9423459&Anne Baxter&1923
nm9423460&Jane Baxter&1909
nm9423461&Warner Baxter&1889
nm9423462&Sarah Bay&
nm9423463&Nathalie Baye&
nm9423464&Gary Bayer&
nm9423465&Geoffrey Bayldon&1924
nm9423466&Stephanie Beacham&1949
nm9423467&John Beal&1909
nm9423468&Jennifer Beals&
nm9423469&Emanuelle Beart&1965
nm9423470&The Beatles&
nm9423471&Robert Beatty&1909
nm9423472&Louise Beavers&1902
nm9423473&John C. Becher&
nm9423474&Sidney Bechet&1892
nm9423475&Jenny Beck&1974
nm9423476&Kimberly Beck&
nm9423477&Michael Beck&1948
nm9423478&Stanley Beck&
nm9423479&Barry Beckerman&
nm9423480&Scotty Beckett&1929
nm9423481&Reginald Beckwith&1908
nm9423482&Don Beddoe&1888
nm9423483&Bonnie Bedelia&1946
nm9423484&Kabir Bedi&1935
nm9423485&Alfonso Bedoya&1904
nm9423486&Molly Bee&
nm9423487&Noah Beery&1884
nm9423488&Noah Beery~jr.&1913
nm9423489&Wallace Beery&1880
nm9423490&Hagan Beggs&
nm9423491&Ed Begley&1901
nm9423492&Ed Begley~jr.&
nm9423493&Charles Belcher&
nm9423494&Barbara BelGeddes&
nm9423495&Ann Bell&
nm9423496&James Bell&1891
nm9423497&Marie Bell&1900
nm9423498&Rex Bell&1905
nm9423499&Madge Bellamy&1903
nm9423500&Ralph Bellamy&1904
nm9423501&Harry Bellaver&1905
nm9423502&Kathleen Beller&1955
nm9423503&Agostina Belli&
nm9423504&Olga Bellin&
nm9423505&JeanPaul Belmondo&1933
nm9423506&Belmonts&
nm9423507&Lionel Belmore&1867
nm9423508&Richard Beltran&
nm9423509&Robert Beltran&
nm9423510&Jim Belushi&
nm9423511&John Belushi&1949
nm9423512&Richard Belzer&
nm9423513&Pat Benatar&
nm9423514&Brian Benben&
nm9423515&Robert Benchley&1889
nm9423516&William Bendix&1906
nm9423517&Billy Benedict&1906
nm9423518&Paul Benedict&
nm9423519&Richard Benedict&1916
nm9423520&Annette Bening&
nm9423521&Richard Benjamin&1938
nm9423522&Alma Bennett&1889
nm9423523&Barbara Bennett&1902
nm9423524&Belle Bennett&1891
nm9423525&Bruce Bennett&1909
nm9423526&Constance Bennett&1904
nm9423527&Jill Bennett&1944
nm9423528&Joan Bennett&1910
nm9423529&Joe Bennett&
nm9423530&John Bennett&1928
nm9423531&Marjorie Bennett&1894
nm9423532&Richard Bennett&1873
nm9423533&Annette Benning&1958
nm9423534&Jack Benny&1894
nm9423535&Martin Benson&1918
nm9423536&Robby Benson&1956
nm9423537&Michael Bentine&1922
nm9423538&Barbi Benton&
nm9423539&Susanne Benton&
nm9423540&Iris Berben&
nm9423541&Tom Berenger&1950
nm9423542&Marisa Berenson&1946
nm9423543&Judith-Marie Bergan&
nm9423544&Polly Bergen&1929
nm9423545&William Bergen&
nm9423546&Helmut Berger&1944
nm9423547&Katya Berger&
nm9423548&Senta Berger&1941
nm9423549&Sidney Berger&1962
nm9423550&William Berger&
nm9423551&Jacques Bergerac&1927
nm9423552&Herbert Berghof&1909
nm9423553&Ingrid Bergman&1915
nm9423554&Harold Bergman&
nm9423555&Henry Bergman&
nm9423556&Sandahl Bergman&
nm9423557&Tracy Bergman&
nm9423558&Elisabeth Bergner&1898
nm9423559&Thommy Bergren&
nm9423560&Steven Berkoff&
nm9423561&Milton Berle&1908
nm9423562&Irving Berlin&1888
nm9423563&Jennie Berlin&
nm9423564&Shelley Berman&1926
nm9423565&Susan Berman&
nm9423566&Jason Bernhard&
nm9423567&Sandra Bernhard&
nm9423568&Herschel Bernardi&1923
nm9423569&Sarah Bernhardt&1844
nm9423570&Elizabeth Berridge&
nm9423571&Phillip Berrigan&
nm9423572&Chuck Berry&
nm9423573&Halle Berry&
nm9423574&Jules Berry&1883
nm9423575&Ken Berry&1933
nm9423576&Michael Berryman&
nm9423577&Marina Berti&1928
nm9423578&Bibi Besch&
nm9423579&Joe Besser&1916
nm9423580&Eugenie Besserer&1870
nm9423581&Edna Best&1900
nm9423582&Willie Best&1916
nm9423583&Barbara Bestar&
nm9423584&Jack Beutel&
nm9423585&Turhan Bey&
nm9423586&Richard Beymer&1939
nm9423587&Daniela Bianchi&1942
nm9423588&Charles Bickford&1889
nm9423589&Michael Biehn&
nm9423590&Ramon Bieri&
nm9423591&Theodore Bikel&1924
nm9423592&Tony Bill&1940
nm9423593&Peter Billingsley&
nm9423594&Herman Bing&1889
nm9423595&Geoff Binney&
nm9423596&Edward Binns&
nm9423597&Julliette Binoche&1964
nm9423598&Paul Birch&1900
nm9423599&Brad Bird&
nm9423600&Norman Bird&1920
nm9423601&David Birney&1944
nm9423602&Jennifer Bishop&
nm9423603&Pat Bishop&
nm9423604&Julie Bishop&1914
nm9423605&Whit Bissell&1919
nm9423606&Jacqueline Bisset&1944
nm9423607&Bonnie Bittner&
nm9423608&Bill Bixby&1934
nm9423609&Gunnar Bjornstrand&
nm9423610&Karen Black&1942
nm9423611&Honor Blackman&1926
nm9423612&Joan Blackman&1938
nm9423613&Sidney Blackmer&1895
nm9423614&Gerard Blain&1930
nm9423615&Vivian Blaine&1921
nm9423616&Betsy Blair&1923
nm9423617&Janet Blair&1921
nm9423618&Linda Blair&1959
nm9423619&Amanda Blake&1929
nm9423620&Jon Blake&
nm9423621&Mary Blake&1896
nm9423622&Robert Blake&1933
nm9423623&Whitney Blake&
nm9423624&Colin Blakely&1930
nm9423625&Susan Blakely&1950
nm9423626&Ronee Blakley&1946
nm9423627&Michel Blanc&
nm9423628&Pierre Blanchar&1892
nm9423629&Alan Blanchard&
nm9423630&Mari Blanchard&1927
nm9423631&Pierre Blanchard&
nm9423632&Clara Blandick&1880
nm9423633&Sally Blane&1910
nm9423634&Mark Blankfield&
nm9423635&Roger Blay&
nm9423636&Debra Blee&
nm9423637&Brian Blessed&1937
nm9423638&Bernard Blier&1916
nm9423639&Dan Blocker&1928
nm9423640&Michael Blodgett&
nm9423641&Joan Blondell&1909
nm9423642&Claire Bloom&1931
nm9423643&Verna Bloom&
nm9423644&Eric Blore&1887
nm9423645&Monte Blue&1890
nm9423646&Ann Blyth&1928
nm9423647&Betty Blythe&1893
nm9423648&John Blythe&1921
nm9423649&Eleanor Boardman&1898
nm9423650&Hart Bochner&
nm9423651&Lloyd Bochner&1924
nm9423652&Carl Boehm&1928
nm9423653&Paul Boensh~III&
nm9423654&Dirk Bogarde&1921
nm9423655&Humphrey Bogart&1899
nm9423656&Roman Bohnen&1894
nm9423657&Richard Bohringer&
nm9423658&Curt Bois&1900
nm9423659&Mary Boland&1880
nm9423660&Ray Bolger&1904
nm9423661&Tiffany Bolling&
nm9423662&Joseph Bologna&1938
nm9423663&Fortunio Bonanova&1893
nm9423664&Derek Bond&1919
nm9423665&Lillian Bond&1910
nm9423666&Sudie Bond&
nm9423667&Ward Bond&1903
nm9423668&Natalya Bondartchuk&
nm9423669&Sergei Bondartchuk&1920
nm9423670&Beulah Bondi&1889
nm9423671&Peter Bonerz&
nm9423672&Sandrine Bonnaire&1967
nm9423673&Beverly Bonner&
nm9423674&Val\'erie Bonnier&
nm9423675&Sonny Bono&1940
nm9423676&Bonzo&
nm9423677&Richard Boone&1917
nm9423678&Connie Booth&
nm9423679&David Booth&1930
nm9423680&Shirley Booth&1907
nm9423681&Powers Boothe&
nm9423682&Paola Borboni&
nm9423683&Matt Borel&
nm9423684&Veda Ann Borg&1915
nm9423685&Dirk Borgarde&
nm9423686&Victor Borge&
nm9423687&Nelly Borgeaud&
nm9423688&Ernest Borgnine&1915
nm9423689&Barry Bostwick&1946
nm9423690&Benjamin Bottoms&
nm9423691&Joseph Bottoms&1954
nm9423692&Sam Bottoms&1960
nm9423693&Timothy Bottoms&1949
nm9423694&Barbara Bouchet&1943
nm9423695&Daniel Boulanger&
nm9423696&Mathew Boulton&
nm9423697&Carole Bouquet&
nm9423698&Michel Bouquet&1926
nm9423699&Charon Bourke&
nm9423700&Phillip Bourneuf&1912
nm9423701&Julie Bovasso&
nm9423702&Tony Bova&
nm9423703&Clara Bow&1905
nm9423704&Dorris Bowdon&1915
nm9423705&Elizabeth Bowen&
nm9423706&Roger Bowen&
nm9423707&Malick Bowes&
nm9423708&Judy Bowker&1954
nm9423709&Lee Bowman&1910
nm9423710&Dorothy Boyd&
nm9423711&Guy Boyd&
nm9423712&Stephen Boyd&1928
nm9423713&William Boyd&1895
nm9423714&William `Stage' Stage&
nm9423715&Charles Boyer&1899
nm9423716&Lara Flynn Boyle&1970
nm9423717&Peter Boyle&1933
nm9423718&The Bowery Boys&
nm9423719&Reizel Bozyk&1914
nm9423720&Marcel Bozzuffi&1929
nm9423721&Eddie Bracken&1920
nm9423722&Jean Bradin&
nm9423723&Terry Bradshaw&
nm9423724&Alice Brady&1892
nm9423725&Pat Brady&
nm9423726&Rob Brady&
nm9423727&Scott Brady&1924
nm9423728&Sonia Braga&
nm9423729&Dame Lilian Braithwaite&1873
nm9423730&Wilfrid Brambell&1912
nm9423731&Miriam Brickman&
nm9423732&Wilford Brimley&
nm9423733&Kenneth Branagh&
nm9423734&Neville Brand&1921
nm9423735&Klaus Maria Brandauer&1944
nm9423736&Henry Brandon&1912
nm9423737&Michael Brandon&
nm9423738&Betsy Brantley&
nm9423739&Pierre Brasseur&1903
nm9423740&Rossano Brazzi&1916
nm9423741&Larry Breeding&
nm9423742&Hanna Brejchova&
nm9423743&El Brendel&1890
nm9423744&Eileen Brennan&1935
nm9423745&Walter Brennan&1894
nm9423746&Eve Brent&1930
nm9423747&Evelyn Brent&1899
nm9423748&George Brent&1904
nm9423749&Timothy Brent&
nm9423750&Edmund Breon&1882
nm9423751&Patricia Breslin&
nm9423752&Felix Bressart&1890
nm9423753&Jeremy Brett&1935
nm9423754&JeanClaude Brialy&
nm9423755&David Brian&1914
nm9423756&Mary Brian&1908
nm9423757&Fanny Brice&1891
nm9423758&Bricktop&
nm9423759&Lloyd Bridges&1913
nm9423760&Wilford Brimley&
nm9423761&Carl Brisson&1895
nm9423762&May Britt&1933
nm9423763&Morgan Brittany&1953
nm9423764&Barbara Britton&1920
nm9423765&Pamela Britton&1923
nm9423766&Tony Britton&1925
nm9423767&Herman Brix&1909
nm9423768&Peter Brocco&
nm9423769&Phil Brock&
nm9423770&Gary Brockette&
nm9423771&Helen Broderick&1890
nm9423772&James Broderick&1927
nm9423773&Matthew Broderick&1951
nm9423774&Steve Brodie&1919
nm9423775&Estelle Brody&1905
nm9423776&J.~Edward Bromberg&1903
nm9423777&John Bromfield&1922
nm9423778&Eleanor Bron&1934
nm9423779&Charles Bronson&1922
nm9423780&Clive Brook&1887
nm9423781&Faith Brook&1922
nm9423782&Hillary Brooke&1914
nm9423783&Elisabeth Brooks&
nm9423784&Geraldine Brooks&1925
nm9423785&Hildy Brooks&
nm9423786&James L. Brooks&
nm9423787&Louise Brooks&
nm9423788&Phyllis Brooks&1914
nm9423789&Rand Brooks&1918
nm9423790&Ray Brooks&1939
nm9423791&Edward S. Brophy&1895
nm9423792&Pierce Brosnan&1952
nm9423793&Antonia Brough&
nm9423794&Mary Brough&1863
nm9423795&Blair Brown&1948
nm9423796&Bruce Brown&
nm9423797&Bryan Brown&1947
nm9423798&Eric Brown&
nm9423799&Foxy Brown&
nm9423800&Gary Brown&
nm9423801&Gaye Brown&
nm9423802&George Stanford Brown&1943
nm9423803&Georgia Brown&1933
nm9423804&James Brown&1920
nm9423805&Janet Brown&
nm9423806&Joe E. Brown&1892
nm9423807&Johnny Mack Brown&1904
nm9423808&Ken Brown&
nm9423809&Lou Brown&
nm9423810&Peter Brown&
nm9423811&Reb Brown&
nm9423812&Roger Aaron Brown&
nm9423813&Tom Brown&1913
nm9423814&Vanessa Brown&1928
nm9423815&Wally Brown&1989
nm9423816&Coral Browne&1913
nm9423817&Kathy Browne&
nm9423818&Roscoe Lee Browne&1925
nm9423819&David Bruce&1914
nm9423820&Lenny Bruce&
nm9423821&Nigel Bruce&1895
nm9423822&Virginia Bruce&1910
nm9423823&Nadja Brunkhorst&
nm9423824&Phil Bruns&
nm9423825&Dora Bryan&1923
nm9423826&Jane Bryan&1918
nm9423827&Michael Bryant&1928
nm9423828&Nana Bryant&1888
nm9423829&Pamela Bryant&
nm9423830&Yul Brynner&1915
nm9423831&John Buchan&
nm9423832&Jack Buchanan&1891
nm9423833&Horst Buchholz&1933
nm9423834&Betty Buckley&
nm9423835&John Buckwalter&
nm9423836&Genevieve Bujold&1942
nm9423837&Raymond Buktencia&
nm9423838&Peter Bull&1912
nm9423839&Jeremy Bulloch&
nm9423840&Sandra Bullock&1967
nm9423841&Avis Bunnage&
nm9423842&Victor Buono&1938
nm9423843&Robert Bur&
nm9423844&Valerie Burdinelli&1960
nm9423845&Eric Burdon&
nm9423846&Scott Burgess&
nm9423847&Gary Burghoff&
nm9423848&Billie Burke&1885
nm9423849&James Burke&1886
nm9423850&Paul Burke&1926
nm9423851&Dennis Burkley&
nm9423852&Tom Burlinson&
nm9423853&Smiley Burnette&
nm9423854&Bob Burns&1893
nm9423855&Catherine Burns&1945
nm9423856&George Burns&1896
nm9423857&Marilyn Burns&
nm9423858&Mark Burns&1936
nm9423859&Stephan W. Burns&
nm9423860&Tim Burns&
nm9423861&Raymond Burr&1917
nm9423862&Terri Burrell&
nm9423863&Jackie Burroughs&
nm9423864&Bill Burrows&
nm9423865&Jeff Burton&
nm9423866&Kate Burton&1958
nm9423867&LeVar Burton&
nm9423868&Richard Burton&1925
nm9423869&Robert Burton&1894
nm9423870&Steve Buscemi&1958
nm9423871&Mae Busch&1879
nm9423872&Billy Green Bush&
nm9423873&Anthony Bushell&1904
nm9423874&Francis X. Bushman&1883
nm9423875&Robert Butler&
nm9423876&William Butler&
nm9423877&Yancy Butler&
nm9423878&Charles Butterworth&1896
nm9423879&Red Buttons&1918
nm9423880&Pat Buttram&
nm9423881&Ruth Buzzi&
nm9423882&Spring Byington&1893
nm9423883&John Byner&
nm9423884&Ralph Byrd&1909
nm9423885&Tom Byrd&
nm9423886&Anne Byrne&
nm9423887&Eddie Byrne&1911
nm9423888&Martha Byrne&
nm9423889&Kathleen Byron&
nm9423890&Walter Byron&1899
nm9423891&James Caan&1938
nm9423892&Bruce Cabot&1904
nm9423893&Sebastian Cabot&1918
nm9423894&Jean Cadell&1884
nm9423895&Sid Caesar&1922
nm9423896&Cheri Caffaro&
nm9423897&Jeanne Cagney&1919
nm9423898&Jimmy Cagney&1899
nm9423899&William Cagney&
nm9423900&Howard Caine&1926
nm9423901&Anna Calder-Marshall&1949
nm9423902&Louis Calhern&1895
nm9423903&Rory Calhoun&1922
nm9423904&Joseph Cali&
nm9423905&Michael Callan&1935
nm9423906&Maria Callas&1923
nm9423907&Joseph Calleia&1897
nm9423908&Simon Callow&
nm9423909&Cab Calloway&1907
nm9423910&Donald Calthrop&1888
nm9423911&Phyllis Calvert&1915
nm9423912&Corinne Calvet&1925
nm9423913&Henry Calvin&1918
nm9423914&Godfrey Cambridge&1929
nm9423915&Rod Cameron&1910
nm9423916&Coleen Camp&
nm9423917&Hamilton Camp&
nm9423918&Rosemary Camp&1913
nm9423919&Frank Campanella&
nm9423920&Joseph Campanella&1927
nm9423921&Beatrice Campbell&1923
nm9423922&Bill Campbell&
nm9423923&Cheryl Campbell&
nm9423924&Colin Campbell&1883
